Preco,Quartos,Suítes,Área Útil (m2),Vagas,Education,Entertainment,Financial,Healthcare,Sustenance,Transportation,Others
290000,1,0,39,1,0.23309155758311806,2.038529363400803,0,0.2692655198711651,0.43654794195503155,55.78641762195322,3.9015734388237022
461000,3,0,68,0,0,0.7069832321379004,1.388309385742029,1.0894047853951312,4.931410311621194,34.99292257218555,0.15928094881667074
470000,3,1,66,1,1.3785868916762003,2.21900148940964,0.1941468022845942,0.4035709705794777,4.820980324670299,20.49525160340893,1.6468530796399976
400000,3,1,116,1,2.780080457296352,0.4440185948598844,1.0766069411312493,2.4778216020367125,5.5726661622766605,26.360897636577786,1.7329348936161708
450000,3,2,69,2,1.9134439260671035,1.112752417895088,1.0875376435616715,3.5059916547129255,9.657321600288984,38.77277414010225,1.7437967763135331
650000,3,1,94,2,0.6017050344881825,0.668965412517414,0.7546705016189992,1.2771547578404994,1.456458841087831,21.252998308766532,0
635000,3,1,96,2,1.9201987970955754,0.5349788508823521,0.11076687668484032,1.1327928578405568,3.93525747189705,18.870139861482624,0.2615678090739906
325000,2,1,44,1,2.4133645822413694,0.7280489280883639,0.3085509797744237,2.1290912936933784,6.123178241297744,23.0384004250069,0.6873677161499003
225000,3,0,67,1,0.15598104712618238,0,1.2453706257135777,0.6895216667507966,1.2040128655861662,22.938856791657322,0.09628800793201822
280000,0,0,140,0,0.524993458849909,1.0112460921293547,0,0,2.0820909931836162,14.467506237138183,0.47363323705449045
320000,3,1,120,3,0,0,0,0,0.42801064891029705,18.92953815977778,0
325000,3,1,65,1,1.7994959235522525,1.087050330977731,0.7272636625258542,3.0923558182576425,7.17143483770495,28.88047905992654,1.175382889371753
400000,2,1,100,1,1.4092207932167293,0.08747110976473255,0.22538159041161032,0.7085780984320228,2.2519632561512717,18.762776139776626,0.3662446332526645
450000,2,1,70,1,0.1724295499279217,0,1.9368348908706743,1.3185764137381555,1.0117635909876437,26.464132502307027,0.23062974930791835
270000,2,1,54,0,1.4057701682795172,0.9483637577617168,0.6819269887162711,1.2055736975877942,5.008954114220328,13.661839171313517,1.3326920996561515
400000,3,1,75,1,2.6727270605902578,0.8640612889794739,2.519345301616464,5.425055239845338,4.636189709806142,31.312880790016482,1.5734669243969177
270000,3,1,65,1,0,0,0,0,0,0,0
310000,1,0,38,1,0.0389150350367114,0.7324078748569193,0.37627406899579025,1.8908632778287457,1.293360841385898,11.81533077521795,0
365000,2,0,60,1,0.6243143142738659,0,3.6826658712410185,2.9877684928762145,3.218312477936222,30.47997477086452,0.9741596435891531
340000,3,1,63,1,1.9623480738426622,0.37321696726922643,0,0.5366095468009506,2.816239215927549,16.96397555490545,0.1605574922921993
385000,3,1,75,1,1.880393314968499,0.2957931803179201,0.04581015362060827,0.49275475218034825,2.700489127209441,17.31756602880812,0.18686638506373413
1390000,4,3,180,3,0,0,0,0,0,0,0
490000,3,1,200,1,0.7355289832353196,0.15468631872222158,4.642348853617368,4.391834209661507,2.846204726525261,32.27666315702401,1.2351725773902558
470000,3,1,78,2,0.2715748386749648,1.161621374779908,0.15770481309161255,0.1465730922401666,0.6814171196836663,22.314312513531092,1.0613090455555836
255000,2,1,45,1,0,0,0,0,0,0,0
750000,3,1,108,2,0.8168314650554046,0.8928079131685687,0.5462218430537622,0.9641086565454573,0.5597193987601766,29.545316148136134,0
450000,3,2,80,2,0.4961435052664397,0,2.909368969321287,2.216708899634514,2.7786468327870883,28.029462873313097,0.6320220682766876
680000,3,1,103,2,0,0,0,0,0,0,0
259000,2,1,75,1,0.6512537284315394,0.8484760442031515,0,0,2.482789037340947,15.717175838428979,0.5610830815428874
395000,3,1,104,1,0,0.038271964694566576,0.18221022865665862,0.41438944780211695,2.3903098910437364,19.68083569507482,0.4416742754453637
549000,3,1,90,2,1.697914692691115,0.9691084411204276,0.5158414462742922,2.5513424172831027,5.957590114115466,26.51899005802148,0.9947945896204586
600000,3,1,93,2,1.0581791832654046,2.3282602394352487,0.9589372255138287,0,2.7080647219413665,26.348483772520897,2.2695119799450025
