Título,Preço,Tipo,Rua,Bairro,CEP,Latitude,Longitude,Tipo Vendedor,Quartos,Suítes,Área Útil (m2),Área Total (m2),Vagas,Taxa Condomínio,IPTU,Data Coleta,Education,Entertainment,Financial,Healthcare,Sustenance,Transportation,Others
Apartamento com piscina e churrasqueira em Tamarineira,280000,Residencial,Rua Gomes Coutinho,Tamarineira,52051130,,,Imobiliária,3,1,61,,1,430,,2017-04-09 23:43:15.534787,,,,,,,
Apartamento  em Torre,570000,Residencial,,Torre,,,,Imobiliária,3,2,90,90,2,430,,2017-04-09 23:43:15.548722,,,,,,,
Apartamento com piscina e churrasqueira em Prado,330000,Residencial,Rua Gervásio Campelo,Prado,50720180,-26.9225709,-49.0606445,Imobiliária,3,1,61,61,2,430,,2017-04-09 23:43:15.648283,,,,,,,
Casa  em Cordeiro,530000,Residencial,Rua Vicente do Rego Monteiro,Cordeiro,50630710,-8.0523329,-34.9252772,Imobiliária,3,1,160,,2,430,,2017-04-09 23:43:15.845758,,,,,,,
Apartamento com piscina e salão de festas em Monteiro,470000,Residencial,,Monteiro,,,,Imobiliária,3,1,80,80,2,430,,2017-04-09 23:43:15.959182,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,420000,Residencial,,Boa Viagem,,,,Imobiliária,3,1,62,,1,430,,2017-04-09 23:43:16.151548,,,,,,,
Apartamento com piscina e salão de festas em Jaqueira,690000,Residencial,Rua Desembargador Martins Pereira,Jaqueira,52050205,-8.036683,-34.9044827,Imobiliária,3,2,101,,2,430,,2017-04-09 23:43:16.171631,,,,,,,
Apartamento  em Varzea,249000,Residencial,Endereço Não Informado,Varzea,,,,Imobiliária,2,0,47,47,0,430,,2017-04-09 23:43:16.223214,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,600000,Residencial,Rua Mamanguape,Boa Viagem,51020250,-8.1149032,-34.8993933,Imobiliária,3,2,97,97,2,430,,2017-04-09 23:43:16.442430,,,,,,,
Apartamento  em Boa Viagem,550000,Residencial,Rua dos Navegantes,Boa Viagem,51020011,-8.1108224,-34.8905821,Imobiliária,3,0,111,165,1,430,,2017-04-09 23:43:16.451905,,,,,,,
Apartamento com churrasqueira e playground em Boa Viagem,1050000,Residencial,Rua Desem Joao Paes,Boa Viagem,51021360,-8.1256324,-34.9048448,Imobiliária,4,2,155,,2,430,,2017-04-09 23:43:16.497704,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,252480,Residencial,Rua Viriato Correia,Boa Viagem,51030510,-8.1337466,-34.9095524,Imobiliária,2,1,47,48,1,430,,2017-04-09 23:43:16.521197,,,,,,,
Apartamento com piscina e churrasqueira em Pina,400000,Residencial,Não Informado,Pina,,,,Imobiliária,3,1,74,74,0,430,,2017-04-09 23:43:16.710550,,,,,,,
Apartamento com campo de futebol e salão de festas em Boa Viagem,325000,Residencial,Rua Francisco de Barros Barreto,Boa Viagem,51021550,-8.1296133,-34.9048002,Imobiliária,3,1,90,,1,430,,2017-04-09 23:43:16.797846,,,,,,,
Apartamento  em Iputinga,300000,Residencial,,Iputinga,,,,Imobiliária,2,1,85,,1,429,,2017-04-09 23:43:16.894045,,,,,,,
Apartamento  em Rosarinho,780000,Residencial,Rua Amaro Coutinho,Rosarinho,52041110,-8.03304,-34.895633,Imobiliária,4,2,115,115,2,428,,2017-04-09 23:43:16.901830,,,,,,,
Apartamento  em Derby,200000,Residencial,Avenida Governador Carlos de Lima Cavalcanti,Derby,50070110,-5.3734725,-49.1054195,Imobiliária,1,0,50,,1,420,,2017-04-09 23:43:17.114773,,,,,,,
Apartamento  em Espinheiro,480000,Residencial,Avenida Conselheiro Rosa e Silva,Espinheiro,52020220,-8.0471957,-34.8970161,Imobiliária,3,1,107,,2,420,,2017-04-09 23:43:17.216831,,,,,,,
Apartamento com piscina e churrasqueira em Torre,350000,Residencial,Rua José de Holanda,Torre,5071140,-34.6252236,-58.3646491,Imobiliária,2,1,52,,1,420,,2017-04-09 23:43:17.245545,,,,,,,
Apartamento com playground em Boa Viagem,790000,Residencial,Não Informado,Boa Viagem,,,,Imobiliária,4,3,274,274,1,420,,2017-04-09 23:43:17.255316,,,,,,,
Apartamento com piscina em Boa Viagem,750000,Residencial,Rua Félix de Brito Melo,Boa Viagem,51020260,-8.1180235,-34.8952387,Imobiliária,4,2,128,128,2,420,,2017-04-09 23:43:17.297047,,,,,,,
Conjunto Comercial/Sala  em Ilha do Leite,633726,Comercial,Rua Senador José Henrique,Ilha do Leite,50070460,-8.0652012,-34.8960337,Imobiliária,0,0,63,,809,420,,2017-04-09 23:43:17.425210,,,,,,,
Apartamento com frente para o mar e salão de festas em Boa Viagem,915000,Residencial,Rua Desem Joao Paes,Boa Viagem,51021360,-8.1261216,-34.900069,Imobiliária,4,2,167,,2,420,3152,2017-04-09 23:43:17.543757,,,,,,,
Apartamento com frente para o mar e salão de festas em Boa Viagem,1900000,Residencial,Avenida Boa Viagem,Boa Viagem,51021000,-8.1319171,-34.8998768,Imobiliária,4,4,156,,3,420,,2017-04-09 23:44:51.566034,,,,,,,
Apartamento com piscina e playground em Boa Viagem,440000,Residencial,,Boa Viagem,,,,Imobiliária,3,1,64,64,1,420,,2017-04-09 23:43:17.567152,,,,,,,
Apartamento com piscina e sauna em Boa Viagem,500000,Residencial,Rua Aviador Severiano Lins,Boa Viagem,51111050,-26.9225709,-49.0606445,Imobiliária,3,1,97,,2,420,248,2017-04-09 23:43:17.657212,,,,,,,
Apartamento com piscina e sauna em Rosarinho,520000,Residencial,Rua Ceara,Rosarinho,52041130,-8.0351338,-34.8937931,Imobiliária,3,1,86,,2,420,,2017-04-09 23:43:17.820444,,,,,,,
Apartamento com piscina e churrasqueira em Boa Vista,250000,Residencial,Avenida Conde da Boa Vista,Boa Vista,50060001,-8.0562804,-34.8940633,Imobiliária,1,0,38,38,1,420,,2017-04-09 23:43:17.879343,,,,,,,
Casa  em Gracas,1200000,Residencial,,Gracas,,,,Imobiliária,4,0,200,200,2,420,,2017-04-09 23:43:17.944797,,,,,,,
Apartamento com piscina e churrasqueira em Macaxeira,1600000,Residencial,Rua Antonio Batista de Souza,Macaxeira,52071370,-8.0156269073,-34.9339103699,Imobiliária,4,4,200,200,4,420,,2017-04-09 23:43:17.997917,,,,,,,
Apartamento com piscina e churrasqueira em Cordeiro,320000,Residencial,Rua Antonio Valdevino da Costa,Cordeiro,50640040,-8.0574065,-34.9318183,Imobiliária,3,0,68,,1,420,83,2017-04-09 23:43:18.098107,,,,,,,
Apartamento com piscina e estacionamento visitantes em Boa Viagem,420000,Residencial,,Boa Viagem,,,,Imobiliária,2,1,59,59,1,420,,2017-04-09 23:43:18.166563,,,,,,,
Conjunto Comercial/Sala com copa e esquina em Pina,1650000,Comercial,Avenida Antonio de Goes,Pina,51110000,-8.0895084,-34.8826592,Imobiliária,0,0,300,411,8,420,,2017-04-09 23:43:18.222781,,,,,,,
Apartamento  em Boa Viagem,400000,Residencial,Rua Almirante Batista Leão,Boa Viagem,51030660,-8.1395313,-34.9092375,Imobiliária,3,1,95,95,2,420,,2017-04-09 23:43:18.339712,,,,,,,
Apartamento com piscina e churrasqueira em Rosarinho,390000,Residencial,Avenida Santos Dumont,Rosarinho,52041060,-8.0291998,-34.8950464,Imobiliária,3,1,65,65,1,420,,2017-04-09 23:43:18.568479,,,,,,,
Apartamento  em Boa Viagem,1150000,Residencial,Rua Serinhaem,Boa Viagem,51021200,-8.122134,-34.897093,Imobiliária,4,3,143,143,2,420,,2017-04-09 23:43:18.620808,,,,,,,
Apartamento com piscina e churrasqueira em Torre,690000,Residencial,Rua Doutor Vicente Ferreira,Torre,50710250,-8.0438567,-34.91107,Imobiliária,3,2,90,90,2,420,,2017-04-09 23:43:18.646949,,,,,,,
Apartamento com salão de festas em Parnamirim,500000,Residencial,Rua Abraham Lincoln,Parnamirim,52060190,-8.0303897,-34.9102909,Imobiliária,2,1,81,,2,420,130,2017-04-09 23:43:18.655549,,,,,,,
Apartamento com copa e salão de festas em Casa Forte,300000,Residencial,Estrada do Encanamento,Casa Forte,52070000,-8.0285296,-34.925084,Imobiliária,2,1,74,74,1,420,,2017-04-09 23:43:18.662161,,,,,,,
Flat com piscina e churrasqueira em Boa Viagem,450000,Comercial,Rua Doutor Pedro de Melo Cahu,Boa Viagem,51020080,-8.1108009,-34.8955411,Imobiliária,2,1,53,,0,420,,2017-04-09 23:43:18.709280,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,990000,Residencial,,Boa Viagem,,-8.0475622,-34.8769643,Imobiliária,4,1,170,,2,420,,2017-04-09 23:43:18.822515,,,,,,,
Apartamento  em Iputinga,250000,Residencial,Rua Emma da Costa Gomes,Iputinga,50670150,-8.0462446213,-34.938079834,Imobiliária,2,1,99,99,1,420,,2017-04-09 23:43:19.098558,,,,,,,
Flat com piscina e sauna em Casa Forte,280000,Comercial,Avenida Dezessete de Agosto,Casa Forte,52061540,-14.235004,-51.92528,Imobiliária,1,0,47,,1,420,,2017-04-09 23:43:19.313999,,,,,,,
Apartamento com piscina e estacionamento visitantes em Iputinga,260000,Residencial,Rua do Bom Pastor,Iputinga,50670260,-8.0503426,-34.9393331,Imobiliária,2,1,569,569,1,420,,2017-04-09 23:43:19.325130,,,,,,,
Apartamento com piscina e salão de festas em Boa Viagem,500000,Residencial,,Boa Viagem,,,,Imobiliária,3,1,90,90,2,420,,2017-04-09 23:43:19.384597,,,,,,,
Apartamento  em Boa Viagem,900000,Residencial,Avenida Boa Viagem,Boa Viagem,51111000,-8.0922337,-34.8821607,Imobiliária,4,1,170,170,2,420,,2017-04-09 23:43:19.398318,,,,,,,
Apartamento com piscina e playground em Setubal,2097735,Residencial,Rua Baltazar Pereira,Setubal,51011550,-8.0949851,-34.8927615,Imobiliária,5,4,181,,3,420,,2017-04-09 23:43:19.421030,,,,,,,
Apartamento com piscina e churrasqueira em Casa Forte,1080000,Residencial,Rua Desembargador Célio de Castro Montenegro,Casa Forte,52070008,-8.0277664,-34.9246083,Imobiliária,4,3,191,207,2,420,,2017-04-09 23:43:19.467333,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,480000,Residencial,Rua Gal Americano Freire,Boa Viagem,51021120,-8.1320805,-34.9085515,Imobiliária,3,1,133,148,1,420,1500,2017-04-09 23:43:19.791466,,,,,,,
Apartamento  em Boa Viagem,340000,Residencial,Avenida Visconde de Jequitinhonha,Boa Viagem,51030020,-8.1257485,-34.9039381,Pessoa Física,2,1,91,,1,420,,2017-04-09 23:43:19.820195,,,,,,,
Apartamento com piscina e playground em Parnamirim,520000,Residencial,,Parnamirim,,,,Imobiliária,3,1,775,775,1,420,,2017-04-09 23:43:19.835648,,,,,,,
Apartamento com copa em Aflitos,320000,Residencial,Avenida Santos Dumont,Aflitos,52050050,-8.0372472,-34.8982554,Imobiliária,2,1,70,100,1,420,,2017-04-09 23:43:20.001752,,,,,,,
Apartamento com piscina e sauna em Boa Viagem,2300000,Residencial,Avenida Boa Viagem,Boa Viagem,51020000,-8.1137037277,-34.8912200928,Imobiliária,4,2,173,173,2,420,,2017-04-09 23:43:58.372662,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,650000,Residencial,Rua Félix de Brito Melo,Boa Viagem,51020260,-26.9225709,-49.0606445,Imobiliária,4,2,124,124,3,420,,2017-04-09 23:43:20.022755,,,,,,,
Apartamento com churrasqueira em Torre,400000,Residencial,Rua Visconde de Itaparica,Torre,50710090,-8.042276,-34.9091831,Imobiliária,3,1,75,75,1,420,,2017-04-09 23:43:20.230544,,,,,,,
Apartamento com piscina e sauna em Boa Viagem,1300000,Residencial,Rua Luís de Farias Barbosa,Boa Viagem,51020110,-8.1103135,-34.8980429,Imobiliária,3,3,189,189,3,420,,2017-04-09 23:43:20.260314,,,,,,,
Apartamento com copa e esquina em Gracas,430000,Residencial,Avenida Rosa e Silva,Gracas,52050225,-8.0437515,-34.8974216,Imobiliária,3,1,113,,1,420,,2017-04-09 23:43:20.270873,,,,,,,
Galpão/Depósito/Armazém  em Jordao,1800000,Comercial,Avenida Maria Irene,Jordao,51250020,-8.1398079,-34.9224153,Imobiliária,0,0,1580,,0,420,,2017-04-09 23:43:20.301416,,,,,,,
Apartamento com piscina e churrasqueira em Casa Amarela,400000,Residencial,Rua Bela Vista,Casa Amarela,52051310,-8.027246,-34.9119219,Imobiliária,3,1,71,,1,419,,2017-04-09 23:43:20.507828,,,,,,,
Apartamento com piscina e churrasqueira em Ilha do Retiro,1700000,Residencial,Avenida Beira Rio,Ilha do Retiro,50750400,-8.0633287,-34.9017244,Imobiliária,3,3,212,212,3,418,,2017-04-09 23:43:20.627656,,,,,,,
Apartamento com esquina e salão de festas em Parnamirim,750000,Residencial,Rua Virginia Loreto,Parnamirim,52060370,-8.0342819,-34.9112555,Imobiliária,4,2,188,,2,418,,2017-04-09 23:43:20.634041,,,,,,,
Casa  em Poco da Panela,1800000,Residencial,Rua Virgílio de Oliveira,Poco da Panela,52061280,-8.0357719,-34.9221455,Imobiliária,4,3,275,525,4,417,,2017-04-09 23:43:22.239084,,,,,,,
Casa com piscina e churrasqueira em Agua Fria,380000,Residencial,Rua Doutor Pereira da Silva,Agua Fria,52130020,-8.0160572,-34.8942929,Imobiliária,3,1,85,,2,416,,2017-04-09 23:43:20.724286,,,,,,,
Apartamento com piscina e sauna em Parnamirim,1200000,Residencial,Rua Ferreira Lopes,Parnamirim,52060200,-8.0316221,-34.912269,Imobiliária,4,4,188,188,3,416,,2017-04-09 23:43:20.868807,,,,,,,
Apartamento com piscina e sauna em Parnamirim,355000,Residencial,Avenida Parnamirim,Parnamirim,52060000,-8.0338636,-34.9094794,Imobiliária,1,0,34,,0,415,,2017-04-09 23:43:20.910700,,,,,,,
Apartamento com piscina e churrasqueira em Tejipio,260000,Residencial,Rua Pajussara,Tejipio,50920120,-8.0868715,-34.9495467,Imobiliária,3,1,59,59,1,415,,2017-04-09 23:43:21.005263,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,600000,Residencial,Rua Dr Luiz Inacio Pessoa de Melo,Boa Viagem,51030320,-8.139692,-34.9064927,Pessoa Física,3,1,132,216,2,414,2625,2017-04-09 23:43:21.047968,,,,,,,
Apartamento com piscina e salão de festas em Torre,580000,Residencial,R Jose Bonifacio,Torre,50710001,-8.0436932,-34.9073383,Imobiliária,3,1,130,,2,414,,2017-04-09 23:43:21.143541,,,,,,,
Apartamento com piscina e frente para o mar em Boa Viagem,820000,Residencial,Avenida Visconde de Jequitinhonha,Boa Viagem,51130021,-8.1498757,-34.9106874,Imobiliária,4,2,130,,0,413,,2017-04-09 23:43:21.161026,,,,,,,
Apartamento com piscina e churrasqueira em Casa Forte,1800000,Residencial,Estrada das Ubáias,Casa Forte,52061080,-14.235004,-51.92528,Imobiliária,4,4,298,,3,410,,2017-04-09 23:43:21.350281,,,,,,,
Conjunto Comercial/Sala  em Espinheiro,696000,Comercial,Endereço Não Informado,Espinheiro,,,,Imobiliária,0,0,87,87,2,410,,2017-04-09 23:43:21.376257,,,,,,,
Apartamento com playground e salão de festas em Boa Viagem,750000,Residencial,Avenida Boa Viagem,Boa Viagem,51030000,-8.122988,-34.8964499,Imobiliária,3,3,163,,2,410,,2017-04-09 23:43:23.380454,,,,,,,
Apartamento com piscina e copa em Casa Forte,1050000,Residencial,Rua Marquês de Tamandaré,Casa Forte,52061170,-8.0325426,-34.9240373,Imobiliária,4,2,150,150,2,410,,2017-04-09 23:43:21.411212,,,,,,,
Apartamento com piscina e sauna em Boa Viagem,390000,Residencial,Rua General Americano Freire,Boa Viagem,51021120,-8.1273826,-34.9060109,Imobiliária,3,1,128,128,1,410,,2017-04-09 23:43:21.462565,,,,,,,
Apartamento com esquina em Torre,250000,Residencial,Rua Real da Torre,Torre,50610000,-8.0499453,-34.9083194,Imobiliária,2,0,55,85,1,410,,2017-04-09 23:43:21.561852,,,,,,,
Apartamento com piscina e churrasqueira em Rosarinho,520000,Residencial,,Rosarinho,52047310,,,Imobiliária,3,1,87,87,2,410,,2017-04-09 23:43:21.801793,,,,,,,
Apartamento  em Imbiribeira,325000,Residencial,Rua Jamaica,Imbiribeira,51200070,-8.1073664,-34.9125678,Imobiliária,3,0,85,85,1,410,,2017-04-09 23:43:21.838122,,,,,,,
Apartamento  em Barro,180000,Residencial,Rua José Benedito Mouri Fernandes,Barro,50780470,-8.094774,-34.9445086,Imobiliária,2,0,55,55,1,410,,2017-04-09 23:43:21.922926,,,,,,,
Apartamento  em Boa Viagem,250000,Residencial,Avenida Conselheiro Aguiar,Boa Viagem,51011030,-8.1120246,-34.8921382,Imobiliária,2,0,55,55,1,410,,2017-04-09 23:43:22.051453,,,,,,,
Apartamento com sauna e esquina em Boa Viagem,475000,Residencial,Avenida Hélio Falcão,Boa Viagem,51021070,-8.1276047,-34.9027228,Imobiliária,3,1,118,,2,410,,2017-04-09 23:43:22.112790,,,,,,,
Apartamento com piscina e playground em Ilha do Retiro,588000,Residencial,Rua Dr Joao Marques,Ilha do Retiro,50750320,-8.0632329,-34.9065049,Imobiliária,4,2,113,,3,410,,2017-04-09 23:43:22.160473,,,,,,,
Apartamento com piscina e churrasqueira em Boa Vista,1500000,Residencial,Rua do Paissandú,Boa Vista,50070200,-8.0606571,-34.8956643,Imobiliária,4,3,500,500,4,410,,2017-04-09 23:43:22.211690,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,1350000,Residencial,Rua Professor Júlio Ferreira de Melo,Boa Viagem,51020231,-14.235004,-51.92528,Imobiliária,4,4,185,,3,410,,2017-04-09 23:43:22.324180,,,,,,,
Apartamento com piscina e sauna em Boa Viagem,590000,Residencial,Rua Padre Bernardino Pessoa,Boa Viagem,51020210,-8.1139054,-34.8952785,Imobiliária,3,2,90,90,2,410,,2017-04-09 23:43:22.629630,,,,,,,
Apartamento com piscina e churrasqueira em Encruzilhada,315000,Residencial,Rua Carlos Borromeu,Encruzilhada,52041150,-8.036094,-34.8921941,Imobiliária,2,1,64,,0,410,,2017-04-09 23:43:22.662418,,,,,,,
Apartamento com playground e salão de festas em Boa Viagem,540000,Residencial,Rua Doutor Luiz Inácio Pessoa de Melo,Boa Viagem,51030320,-8.1396413,-34.9054317,Imobiliária,3,1,130,130,2,410,,2017-04-09 23:43:22.723050,,,,,,,
Apartamento com piscina e sauna em Encruzilhada,530000,Residencial,,Encruzilhada,,,,Imobiliária,3,1,86,86,2,410,,2017-04-09 23:43:22.751730,,,,,,,
Apartamento com playground e salão de festas em Casa Forte,1100000,Residencial,Rua Irmã Maria David,Casa Forte,52061070,-8.0317894,-34.9207802,Imobiliária,4,2,155,155,3,410,,2017-04-09 23:43:22.812073,,,,,,,
Apartamento com salão de festas em Gracas,890000,Residencial,"Rua Cupim,Do",Gracas,52011070,-8.0456964,-34.8975486,Imobiliária,4,1,200,230,3,410,,2017-04-09 23:43:22.899043,,,,,,,
Apartamento  em Cordeiro,230000,Residencial,Rua Urubá,Cordeiro,51280510,-8.1159261,-34.945598,Imobiliária,2,1,66,66,1,407,,2017-04-09 23:43:22.935353,,,,,,,
Apartamento com playground e salão de festas em Boa Vista,699000,Residencial,Rua Luiz Barbalho,Boa Vista,50070120,-8.057161,-34.896072,Imobiliária,4,2,157,247,2,406,,2017-04-09 23:43:23.209300,,,,,,,
Apartamento com piscina e churrasqueira em Madalena,890000,Residencial,Rua J. A. da Silveira,Madalena,50610030,-8.0516716,-34.9059196,Imobiliária,3,1,112,112,2,406,,2017-04-09 23:43:23.225894,,,,,,,
Apartamento com piscina e playground em Madalena,577035,Residencial,Rua Ernani Braga,Madalena,50610350,-14.235004,-51.92528,Imobiliária,3,1,84,,2,405,,2017-04-09 23:43:23.398130,,,,,,,
Apartamento com copa em Derby,700000,Residencial,Rua da Baixa Verde,Derby,52010250,-8.055297,-34.8999878,Imobiliária,4,2,320,320,2,405,,2017-04-09 23:43:23.440292,,,,,,,
Apartamento  em Madalena,900000,Residencial,Rua Ernani Braga,Madalena,50610350,-8.0491398,-34.9104581,Imobiliária,4,2,174,174,2,404,,2017-04-09 23:43:23.549150,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,1440000,Residencial,Rua Serinhaém,Boa Viagem,51021200,-8.122134,-34.897093,Imobiliária,4,2,134,134,2,401,,2017-04-09 23:43:23.634066,,,,,,,
Apartamento  em Boa Viagem,315000,Residencial,Rua João Dias Martins,Boa Viagem,51021540,-8.1292648,-34.9054848,Imobiliária,3,1,133,133,2,400,,2017-04-09 23:43:23.697922,,,,,,,
Apartamento com piscina e playground em Rosarinho,365000,Residencial,Avenida Santos Dumont,Rosarinho,52050500,-8.0327300495,-34.896416309,Imobiliária,2,1,54,54,1,400,,2017-04-09 23:43:23.754536,,,,,,,
Apartamento com salão de festas em Boa Viagem,1500000,Residencial,,Boa Viagem,,,,Imobiliária,6,1,172,172,2,400,,2017-04-09 23:43:23.913146,,,,,,,
Apartamento com piscina e esquina em Boa Viagem,2330000,Residencial,Avenida Boa Viagem,Boa Viagem,51130000,-8.1289861,-34.8986324,Imobiliária,4,4,223,,3,400,,2017-04-09 23:43:23.942509,,,,,,,
Apartamento com piscina e copa em Tamarineira,580000,Residencial,Rua Rodrigues Sete,Tamarineira,52051230,-14.235004,-51.92528,Imobiliária,4,1,93,,2,400,,2017-04-09 23:43:23.996274,,,,,,,
Casa de condomínio com piscina e copa em Pina,2090000,Residencial,Não Informado,Pina,,,,Imobiliária,6,4,350,350,4,400,,2017-04-09 23:43:24.027662,,,,,,,
Apartamento  em Encruzilhada,415000,Residencial,Rua Amaro Coutinho,Encruzilhada,52041110,-8.0355679,-34.8929865,Imobiliária,3,0,70,70,1,400,,2017-04-09 23:43:24.330509,,,,,,,
Apartamento com piscina e salão de festas em Boa Viagem,380000,Residencial,Rua Professor Augusto Lins e Silva,Boa Viagem,51030030,-8.1406797,-34.9059747,Imobiliária,2,0,47,57,1,400,,2017-04-09 23:43:24.368923,,,,,,,
Apartamento  em Boa Viagem,250000,Residencial,Avenida Engenheiro Domingos Ferreira,Boa Viagem,51020030,-8.1121029,-34.8935492,Imobiliária,2,0,75,90,1,400,,2017-04-09 23:43:24.393760,,,,,,,
Apartamento com salão de festas em Casa Forte,1300000,Residencial,Rua Samuel Farias,Casa Forte,52060430,-8.0578381,-34.8828969,Imobiliária,4,2,265,,3,400,,2017-04-09 23:43:24.433037,,,,,,,
Apartamento com piscina e sauna em Espinheiro,1000000,Residencial,Rua José Luiz da Silveira Barros,Espinheiro,52020160,-8.0469331741,-34.8928489685,Imobiliária,4,1,210,210,2,400,,2017-04-09 23:43:24.582662,,,,,,,
Apartamento com piscina e churrasqueira em Torreao,409100,Residencial,Rua Cândido Lacerda,Torreao,52030200,-8.0408652,-34.8841463,Imobiliária,2,1,55,55,1,400,,2017-04-09 23:43:24.627477,,,,,,,
Apartamento com piscina e playground em Monteiro,490000,Residencial,Avenida Dezessete de Agosto,Monteiro,52061540,-8.0273735,-34.9281265,Imobiliária,2,1,80,80,0,400,,2017-04-09 23:43:24.659858,,,,,,,
Apartamento com sauna e playground em Torreao,409100,Residencial,Rua Cândido Lacerda,Torreao,52030200,-8.0408652,-34.8841463,Imobiliária,2,1,56,56,1,400,,2017-04-09 23:43:24.774175,,,,,,,
Apartamento  em Boa Viagem,1000000,Residencial,Avenida Boa Viagem,Boa Viagem,51030000,-8.1397697,-34.902832,Imobiliária,4,3,150,150,3,400,,2017-04-09 23:43:24.880212,,,,,,,
Apartamento com churrasqueira e copa em Boa Viagem,940000,Residencial,,Boa Viagem,52020011,,,Imobiliária,4,2,170,170,2,400,,2017-04-09 23:43:24.898458,,,,,,,
Apartamento  em Boa Viagem,870000,Residencial,,Boa Viagem,,,,Imobiliária,3,3,142,142,2,400,,2017-04-09 23:43:24.907103,,,,,,,
Apartamento com piscina em Boa Viagem,190000,Residencial,,Boa Viagem,,,,Imobiliária,1,0,23,23,1,400,,2017-04-09 23:43:25.103959,,,,,,,
Apartamento com piscina e sala de ginástica em Boa Viagem,330000,Residencial,Rua Prof Julio Ferreira de Melo,Boa Viagem,51020231,-8.1166239,-34.8991252,Imobiliária,1,0,43,,1,400,,2017-04-09 23:43:25.154802,,,,,,,
Apartamento  em Boa Viagem,315600,Residencial,,Boa Viagem,,,,Imobiliária,2,1,47,47,1,400,,2017-04-09 23:43:25.182052,,,,,,,
Apartamento com piscina e churrasqueira em Encruzilhada,360000,Residencial,Não Informado,Encruzilhada,,,,Imobiliária,2,1,63,63,1,400,,2017-04-09 23:43:25.271138,,,,,,,
Flat com piscina e quadra poliesportiva em Boa Viagem,199000,Comercial,Rua Cel Anizio Rodrigues Coelho,Boa Viagem,51021130,-14.235004,-51.92528,Imobiliária,0,0,25,25,1,400,,2017-04-09 23:43:25.302603,,,,,,,
Apartamento com piscina e playground em Apipucos,495000,Residencial,Rua Engenheiro Oscar Ferreira,Apipucos,52061020,-8.0306086,-34.9243175,Imobiliária,2,1,85,85,2,400,,2017-04-09 23:43:25.562424,,,,,,,
Apartamento com piscina e campo de futebol em Boa Viagem,900000,Residencial,Rua Aviador Severiano Lins,Boa Viagem,51020060,-22.8823216,-43.6386938,Imobiliária,4,4,137,137,2,400,,2017-04-09 23:43:25.629911,,,,,,,
Apartamento com piscina e sauna em Casa Forte,850000,Residencial,Avenida 17 de Agosto,Casa Forte,52061540,-8.0343132019,-34.9212722778,Imobiliária,4,3,156,,3,400,,2017-04-09 23:43:53.897546,,,,,,,
Apartamento com salão de festas e salão de jogos em Casa Amarela,430000,Residencial,Rua Desembargador Motta Júnior,Casa Amarela,52051360,-8.0263291,-34.9112358,Imobiliária,3,1,79,79,2,400,,2017-04-09 23:43:54.032865,,,,,,,
Apartamento com piscina e frente para o mar em Boa Viagem,745000,Residencial,"Rua Navegantes,Dos",Boa Viagem,51021010,-8.1215118,-34.8965527,Imobiliária,3,1,84,,2,400,,2017-04-09 23:43:54.465260,,,,,,,
Casa  em Poco da Panela,690000,Residencial,Estrada Real do Poço,Poco da Panela,52061200,-8.0357256,-34.9212794,Imobiliária,3,0,120,250,1,400,,2017-04-09 23:43:54.529909,,,,,,,
Apartamento  em Engenho do Meio,180000,Residencial,Rua Presidente Washington Luiz,Engenho do Meio,50730620,-8.0513672,-34.9389126,Imobiliária,3,1,58,,1,400,,2017-04-09 23:43:54.590430,,,,,,,
Apartamento com playground e quadra poliesportiva em Boa Viagem,570000,Residencial,Rua Desembargador João Paes,Boa Viagem,51021360,-8.1258569,-34.9030173,Imobiliária,3,2,114,114,2,400,,2017-04-09 23:43:54.597377,,,,,,,
Casa comercial  em Torreao,1200000,Comercial,Rua Djalma Farias,Torreao,52030190,-8.0401338,-34.8841365,Imobiliária,3,1,500,500,6,400,,2017-04-09 23:43:54.673224,,,,,,,
Apartamento com piscina e copa em Jaqueira,560000,Residencial,Rua Leonardo Bezerra Cavalcanti,Jaqueira,52060030,-8.0372992,-34.9095993,Imobiliária,3,1,112,158,2,400,,2017-04-09 23:43:54.776741,,,,,,,
Apartamento com piscina e churrasqueira em Espinheiro,550000,Residencial,,Espinheiro,,,,Imobiliária,3,1,931,931,2,400,,2017-04-09 23:43:55.040008,,,,,,,
Apartamento com salão de festas em Boa Viagem,700000,Residencial,Avenida Boa Viagem,Boa Viagem,51030000,-8.1395798,-34.9028475,Imobiliária,3,2,180,220,2,400,,2017-04-09 23:43:55.207907,,,,,,,
Apartamento com piscina e salão de festas em Madalena,480000,Residencial,Rua Renato de Medeiros,Madalena,50610150,-8.0549078,-34.9065923,Imobiliária,3,1,92,,2,400,,2017-04-09 23:43:55.295971,,,,,,,
