Título,Preço,Tipo,Rua,Bairro,CEP,Latitude,Longitude,Tipo Vendedor,Quartos,Suítes,Área Útil (m2),Área Total (m2),Vagas,Taxa Condomínio,IPTU,Data Coleta,Education,Entertainment,Financial,Healthcare,Sustenance,Transportation,Others
Apartamento com playground em Gracas,260000,Residencial,Rua da Amizade,Gracas,52011260,-8.0506443,-34.9001834,Imobiliária,2,0,66,,1,2200,,2017-04-09 23:25:39.646326,,,,,,,
Apartamento  em Rosarinho,340000,Residencial,Av. Santos Dumont,Rosarinho,52041060,-8.0331809,-34.8961656,Imobiliária,2,0,82,,1,2200,,2017-04-09 23:25:39.733784,,,,,,,
Apartamento com sauna e esquina em Madalena,360000,Residencial,Avenida Beira Rio,Madalena,50610100,-8.0483862,-34.9043132,Imobiliária,2,1,62,,1,2200,,2017-04-09 23:25:39.847961,,,,,,,
Apartamento com piscina e churrasqueira em Jaqueira,280000,Residencial,Rua Hoel Sette,Jaqueira,52050090,-8.0359838,-34.903247,Imobiliária,1,0,38,,1,2200,,2017-04-09 23:25:40.013345,,,,,,,
Apartamento com piscina e sauna em Tamarineira,340000,Residencial,Rua Joseph Turton,Tamarineira,52051110,-8.0302204,-34.9043008,Imobiliária,2,0,60,,1,2200,,2017-04-09 23:25:40.252025,,,,,,,
Apartamento com estacionamento visitantes em Torre,370000,Residencial,Rua Real da Torre,Torre,50710100,-8.0440692902,-34.9102668762,Imobiliária,3,1,100,100,1,2200,,2017-04-09 23:25:40.259181,,,,,,,
Apartamento com copa e esquina em Espinheiro,590000,Residencial,"Rua Espinheiro,Do",Espinheiro,52020020,-8.0444645,-34.8941401,Pessoa Física,3,1,150,165,2,2100,2800,2017-04-09 23:25:40.489296,,,,,,,
Apartamento com piscina e children care em Boa Viagem,350000,Residencial,Rua Tenente Domingos de Brito,Boa Viagem,51021100,-26.9225709,-49.0606445,Imobiliária,3,1,68,78,1,2100,,2017-04-09 23:25:40.507719,,,,,,,
Apartamento com piscina e churrasqueira em Boa Viagem,320000,Residencial,Avenida General Mac Arthur,Boa Viagem,51150400,-8.1092735,-34.9100414,Imobiliária,2,1,63,63,1,2100,,2017-04-09 23:25:40.665944,,,,,,,
Apartamento com piscina e sauna em Rosarinho,400000,Residencial,Rua Amaro Coutinho,Rosarinho,52041110,-8.0332082,-34.8948999,Imobiliária,3,1,72,,1,2100,,2017-04-09 23:25:44.191801,,,,,,,
Apartamento com piscina em Boa Viagem,540000,Residencial,Rua Francisco da Cunha,Boa Viagem,51020050,-8.109214,-34.8931739,Imobiliária,3,1,89,89,1,2100,,2017-04-09 23:25:40.693917,,,,,,,
Apartamento com playground em Boa Viagem,550000,Residencial,Rua Silva Lobato,Boa Viagem,51011580,-8.1010592,-34.8856493,Imobiliária,3,1,82,,2,2100,,2017-04-09 23:25:40.878612,,,,,,,
Apartamento com playground e salão de festas em Encruzilhada,330000,Residencial,Rua Quarenta e Oito,Encruzilhada,52050380,-8.0377223,-34.8940553,Imobiliária,2,1,50,50,1,2100,,2017-04-09 23:25:41.259313,,,,,,,
Apartamento  em Boa Viagem,340000,Residencial,Rua Almirante Batista Leão,Boa Viagem,51030660,-8.1395373,-34.9092745,Imobiliária,3,1,83,83,2,2083,,2017-04-09 23:25:41.342630,,,,,,,
Apartamento com estacionamento visitantes e salão de festas em Boa Viagem,320000,Residencial,Rua Petrolina,Boa Viagem,51021250,,,Imobiliária,2,1,73,73,1,2044,5000,2017-04-09 23:25:41.357509,,,,,,,
Apartamento  em Madalena,290000,Residencial,Rua Senador Fábio de Barros,Madalena,50720725,-8.060634,-34.9058747,Imobiliária,3,1,85,85,1,2000,,2017-04-09 23:25:41.817979,,,,,,,
Apartamento  em Ilha do Retiro,649427,Residencial,Rua Tabaiares,Ilha do Retiro,50750230,-8.0645721,-34.9043936,Pessoa Física,3,1,104,,2,2000,,2017-04-09 23:25:41.904684,,,,,,,
Apartamento com estacionamento visitantes e salão de festas em Iputinga,350000,Residencial,Rua Capitão Araújo Miranda,Iputinga,50721450,-8.0463446,-34.9335768,Imobiliária,3,0,88,88,1,2000,,2017-04-09 23:25:42.027043,,,,,,,
Apartamento  em Boa Viagem,340000,Residencial,Rua Almirante Batista Leão,Boa Viagem,51030660,-8.1395373,-34.9092745,Imobiliária,3,1,83,83,2,2000,,2017-04-09 23:25:42.153876,,,,,,,
