Titulo,Preço,Tipo,Rua,Bairro,CEP,Latitude,Longitude,Tipo Vendedor,Quartos,Suítes,Área Útil (m2),Area Total (m2),Vagas,Taxa Condomínio,IPTU,Data Coleta,Education,Entertainment,Financial,Healthcare,Sustenance,Transportation,Others
Apartamento com piscina e salão de festas em Espinheiro,365000,Residencial,Rua Gomes Pacheco,Espinheiro,52021060,-8.0401641,-34.8892522,Imobiliária,2,0,60,60,1,345,,2017-04-08 22:44:01.918729,0.6243143142738659,0,3.6826658712410185,2.9877684928762145,3.218312477936222,30.47997477086452,0.9741596435891531
Apartamento com piscina e churrasqueira em Torre,340000,Residencial,Rua Pio LX,Torre,50710260,-8.044832,-34.9108744,Imobiliária,3,1,63,63,1,,,2017-04-08 22:44:01.926177,1.9623480738426622,0.37321696726922643,0,0.5366095468009506,2.816239215927549,16.96397555490545,0.1605574922921993
Apartamento com campo de futebol e playground em Torre,385000,Residencial,Rua Vitoriano Palhares,Torre,50710190,-8.0438197,-34.9103629,Imobiliária,3,1,75,,1,595,,2017-04-08 22:44:01.999987,1.880393314968499,0.2957931803179201,0.04581015362060827,0.49275475218034825,2.700489127209441,17.31756602880812,0.18686638506373413
Apartamento com piscina e churrasqueira em Casa Forte,1390000,Residencial,Estrada das Ubáias,Casa Forte,52061080,,,Imobiliária,4,3,180,,3,1500,,2017-04-08 22:44:02.043245,0,0,0,0,0,0,0
Apartamento com salão de festas em Encruzilhada,490000,Residencial,Rua Domingos Bastos,Encruzilhada,52030020,-8.0366417,-34.8899536,Imobiliária,3,1,200,200,1,760,,2017-04-08 22:44:02.113211,0.7355289832353196,0.15468631872222158,4.642348853617368,4.391834209661507,2.846204726525261,32.27666315702401,1.2351725773902558
Apartamento com piscina e churrasqueira em Madalena,470000,Residencial,Avenida Caxangá,Madalena,50800000,-8.043667,-34.9334778,Imobiliária,3,1,78,,2,450,135,2017-04-08 22:44:02.361982,0.2715748386749648,1.161621374779908,0.15770481309161255,0.1465730922401666,0.6814171196836663,22.314312513531092,1.0613090455555836
Apartamento com piscina em Encruzilhada,255000,Residencial,,Encruzilhada,,,,Imobiliária,2,1,45,45,1,,,2017-04-09 23:46:18.739819,0,0,0,0,0,0,0
Apartamento com piscina e churrasqueira em Boa Viagem,750000,Residencial,Rua Dhalia,Boa Viagem,51020290,-8.1193605,-34.8976865,Imobiliária,3,1,108,,2,650,,2017-04-08 22:44:02.537204,0.8168314650554046,0.8928079131685687,0.5462218430537622,0.9641086565454573,0.5597193987601766,29.545316148136134,0
Apartamento com piscina e copa em Espinheiro,450000,Residencial,Rua Marquês do Paraná,Espinheiro,52021050,-8.0409293,-34.8882807,Imobiliária,3,2,80,,2,600,115,2017-04-08 22:44:02.762242,0.4961435052664397,0,2.909368969321287,2.216708899634514,2.7786468327870883,28.029462873313097,0.6320220682766876
Apartamento com churrasqueira e playground em Boa Viagem,680000,Residencial,Rua Cônego Romeu,Boa Viagem,51030340,,,Imobiliária,3,1,103,103,2,800,,2017-04-08 22:44:02.786386,0,0,0,0,0,0,0
Apartamento com piscina e copa em Boa Viagem,259000,Residencial,Rua Jose Hipolito Cardoso,Boa Viagem,51030060,-8.1423048,-34.9096799,Imobiliária,2,1,75,87,1,730,1000,2017-04-08 22:44:02.871414,0.6512537284315394,0.8484760442031515,0,0,2.482789037340947,15.717175838428979,0.5610830815428874
Apartamento  em Casa Forte,395000,Residencial,Avenida Dezessete de Agosto,Casa Forte,52060590,-8.0355314,-34.9204345,Imobiliária,3,1,104,104,1,400,,2017-04-08 22:44:02.890881,0,0.038271964694566576,0.18221022865665862,0.41438944780211695,2.3903098910437364,19.68083569507482,0.4416742754453637
Apartamento com piscina e churrasqueira em Madalena,549000,Residencial,Rua Monsenhor Silva,Madalena,50610360,-8.0511604,-34.9113967,Imobiliária,3,1,90,90,2,600,,2017-04-08 22:44:02.958442,1.697914692691115,0.9691084411204276,0.5158414462742922,2.5513424172831027,5.957590114115466,26.51899005802148,0.9947945896204586
Apartamento com piscina e churrasqueira em Boa Viagem,600000,Residencial,Rua José Paraíso,Boa Viagem,51030390,-8.1347231,-34.9046341,Imobiliária,3,1,93,93,2,690,,2017-04-08 22:44:02.965297,1.0581791832654046,2.3282602394352487,0.9589372255138287,0,2.7080647219413665,26.348483772520897,2.2695119799450025
Apartamento  em Ipsep,200000,Residencial,Avenida Recife,Ipsep,51350670,-8.1187555,-34.9214115,Imobiliária,3,0,67,67,1,,,2017-04-08 22:44:02.982377,0,0,0,0,0,16.63913216444988,0.2146572382198883
Apartamento com piscina e churrasqueira em Rosarinho,250000,Residencial,Rua Regueira Costa,Rosarinho,52041050,-8.032931,-34.8982925,Imobiliária,1,0,33,33,1,350,,2017-04-09 23:25:23.327484,2.4475099231878725,0.7063732335773673,0.7946703218477665,4.384667668983546,4.05296191303279,29.371181874329544,0.6583031113608007
Conjunto Comercial/Sala  em Pina,1500,Comercial,Avenida República do Líbano,Pina,51110160,-8.0878136,-34.8912371,Imobiliária,0,0,30,30,0,3518,,2017-04-09 23:30:24.287419,0,0,0,0,0.031676544575857404,10.54375926660263,0.32822606016477673
Apartamento com churrasqueira e copa em Aflitos,550000,Residencial,Avenida Conselheiro Rosa e Silva,Aflitos,52020220,-8.0436765,-34.8972521,Imobiliária,4,1,180,180,1,800,,2017-04-08 22:44:03.480292,1.4585825768180747,0.6672063134615442,0.7611624067653504,1.2943041909812811,7.745196159478528,34.50238366762457,2.140079346041817
