Título,Preço,Tipo,Rua,Bairro,CEP,Latitude,Longitude,Tipo Vendedor,Quartos,Suítes,Área Útil (m2),Área Total (m2),Vagas,Condomínio,IPTU,Data Coleta,Educação,Entretenimento,Financeiro,Saúde,Alimentação,Transporte,Others
Apartamento com playground em Madalena,2700000,Residencial,Rua Padre Landim,Madalena,50710470,-8.0484177,-34.9123636,Pessoa Física,3,1,109,111,5,1600,1200,2017-04-09 23:30:24.846125,1.6601331335170215,0.549405409056548,0.18012680099700162,1.2175075808907838,3.336623697312986,20.814946885436132,
Apartamento com piscina e churrasqueira em Casa Amarela,2700000,Residencial,Estrada das Ubáias,Casa Amarela,52070013,-8.0295568,-34.9180034,Imobiliária,3,1,70,70,5,1600,,2017-04-09 23:30:24.973113,0,0.65703213107018,1.4778382916116821,1.3594318144932764,3.3163176891472608,37.68837426784546,
Apartamento com estacionamento visitantes em Rosarinho,2700000,Residencial,Avenida Santos Dumont,Rosarinho,52050500,-8.0372939,-34.8984192,Imobiliária,3,1,145,145,5,1600,,2017-04-09 23:30:25.273376,3.3600222407620333,0.7763827358415999,1.843475393062275,4.7329153908822486,5.417380726642337,28.780420533778326,
Apartamento com playground e salão de festas em Campo Grande,2680000,Residencial,Rua Mario 7,Campo Grande,52040190,-8.0305833,-34.880491,Imobiliária,3,2,70,82,5,1600,103,2017-04-09 23:30:25.402881,0,0,0,0,0,25.932782144250528,
Apartamento com copa em Boa Viagem,2671000,Residencial,Rua Ernesto de Paula Santos,Boa Viagem,51021330,-8.1241872,-34.9029838,Imobiliária,3,1,148,148,5,1600,,2017-04-09 23:30:25.450928,0.9075013339112854,2.6560778067931334,0.3879742599755576,0.8088545728287163,5.599035794888507,30.399195771497034,
Apartamento com playground em Iputinga,2600000,Residencial,Rua Emiliano Braga,Iputinga,50670380,-8.035472,-34.951234,Imobiliária,2,0,70,70,4,1600,,2017-04-09 23:30:25.910370,0.31631053359492667,0,0,0.2101226420591694,1.0297955727364796,19.577243916837716,
Apartamento com salão de festas em Boa Viagem,2600000,Residencial,Rua Professor Augusto Lins e Silva,Boa Viagem,51030030,-8.1416943,-34.9066001,Imobiliária,3,2,104,146,4,1600,,2017-04-09 23:30:26.018380,0.4333083428011797,1.9570208188126657,0,0,1.637614971820852,14.682256700306569,
Apartamento com piscina e salão de festas em Boa Viagem,2600000,Residencial,Rua Mamanguape,Boa Viagem,51020250,-8.1149753,-34.8991243,Imobiliária,1,0,30,30,4,1600,,2017-04-09 23:30:26.055255,0.6724358311944523,0.5549139655988395,0.5125923141142827,0.6850094724478484,0.9766732715786348,23.041996913854607,
Apartamento com playground e salão de festas em Prado,2600000,Residencial,Rua Manoel de Arruda Câmara,Prado,50720140,-8.0598726,-34.9112518,Imobiliária,2,0,80,80,4,1600,,2017-04-09 23:30:26.075342,1.4615163380144205,0.5984039354982859,0.7402044535776994,1.9677019983166588,7.554949816877082,40.46563276128188,
Apartamento  em Setubal,2600000,Residencial,Rua Sá e Souza,Setubal,51030065,-8.1370982,-34.9061693,Imobiliária,2,0,55,,4,1600,,2017-04-09 23:30:26.769707,0.9356680640606664,2.050274420537066,0.34082895799541324,0,1.6293024592329517,21.54952023922784,
